anoPca,dataAtualizacao,dataPublicacaoPncp,cnpj,quantidade,valorTotal,razaoSocial,poder,esfera,ano
2022,2023-05-20T06:40:22,2023-05-19T22:37:05,10637926000146,2000,38113087.36,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO SUL",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:51:31,10648539000105,7107,117037318.72,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",E,F,2022
2022,2023-07-04T20:36:39,2023-07-04T20:23:51,10651417000178,2000,38108884.53,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA GOIANO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:43:10,10652179000115,7585,100729717.24,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PARANA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:28:49,10662072000158,2000,137034977.87,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FARROUPILHA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:21:20,10695891000100,6362,46167320.08,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TRIANGULO MINEIRO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:53:55,10735145000194,7950,425957292.03,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO MARANHAO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T23:09:19,10763998000130,3498,42475492.04,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO PARA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:49:25,10767239000145,9454,291151725.3,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE PERNAMBUCO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:02:25,10779511000107,6499,77042758.07,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA FLUMINENSE.",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:55:03,10783898000175,10640,147426001.09,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA PARAIBA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T23:21:03,10784782000150,8011,153268487.1,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MATO GROSSO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:51:39,10791831000182,4859,111295892.6,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE BRASILIA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:51:26,10792928000100,4400,119934340.12,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAZONAS",E,F,2022
2022,2023-05-20T06:50:03,2023-05-19T21:49:46,10806496000149,7090,104452729.33,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO PIAUI",E,F,2022
2022,2023-05-19T21:59:14,2023-05-19T21:59:14,10820882000195,54,1013702.65,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO AMAPA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:02:05,10825373000155,7504,71560364.03,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE ALAGOAS - IF/AL",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:42:32,10830301000104,1546,45220178.03,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SERTAO PERNAMBUCANO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:42:37,10838653000106,12579,280034506.87,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO ESPIRITO SANTO,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:44:17,10882594000165,12573,297771956.7289,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SAO PAULO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:56:02,10952708000104,9131,190810934.91,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO DE JANEIRO",E,F,2022
2022,2023-07-04T20:38:32,2023-07-04T20:27:47,11402887000160,1148,86240539.75,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SANTA CATARINA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T00:46:47,11806275000133,1325,64155038.13,UNIVERSIDADE FEDERAL DA INTEGRACAO LATINO-AMERICANA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:26:19,10635424000186,2000,14762990.86,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA CATARINENSE,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:31:28,10673078000120,660,37234153.51,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE MATO GROSSO DO SUL",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:22:49,10723648000140,2000,47485935.44,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO SUDESTE DE MINAS GERAIS",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:46:57,10724903000179,11804,131289385.2805,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA BAIANO",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:02:46,10727655000110,9857,121363906.95,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",E,F,2022
2022,2023-05-20T06:53:27,2023-05-19T19:56:29,10728444000100,9515,164663989.98,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE SERGIPE",E,F,2022
2022,2023-07-04T20:27:13,2023-05-19T19:48:09,10729992000146,2857,54794900.64,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA SUL-RIO-GRANDENSE - RS",E,F,2022
2022,2023-05-20T06:38:06,2023-05-19T22:30:41,10742006000198,3035,59643524.99,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO TOCANTINS",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:32:17,10744098000145,13476,215556510.14,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO CEARA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:08:12,10764307000112,4755,93001484.11,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DA BAHIA",E,F,2022
2022,2023-05-20T06:49:32,2023-05-19T22:41:32,10817343000105,6205,82235024.33,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DE RONDONIA",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:42:46,10870883000144,4491,145907923.25,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DE GOIAS",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:00:45,10877412000168,8498,101189138.004,"INSTITUTO FEDERAL DE EDUCACAO, CIENCIA E TECNOLOGIA DO RIO GRANDE DO NORTE",E,F,2022
2022,2023-05-20T05:15:51,2023-05-20T05:05:23,10898596000142,544,82718420.75,INSTITUTO BRASILEIRO DE MUSEUS - IBRAM,E,F,2022
2022,2023-05-19T22:46:08,2023-05-19T22:45:57,10918674000123,315,5959247.05,"INSTITUTO FEDERAL DE EDUCACAO,CIENCIA E TECNOLOGIA DO ACRE",E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T00:30:24,11118393000159,2000,66010810.46,UNIVERSIDADE FEDERAL DO OESTE DO PARA,E,F,2022
2022,2023-05-20T07:00:35,2023-05-20T00:32:32,11234780000150,2000,84314733.8,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL - UFFS,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:23:37,21195755000169,2006,116249287.405,UNIVERSIDADE FEDERAL DE JUIZ DE FORA UFJF,E,F,2022
2022,2023-05-20T05:38:02,2023-05-19T20:09:10,22078679000174,1718,87602533.0,UNIVERSIDADE FEDERAL DE LAVRAS,E,F,2022
2022,2023-05-20T08:05:35,2023-05-19T20:10:11,24529265000140,2284,41970885.93,UNIVERSIDADE FEDERAL RURAL DO SEMI-ARIDO - UFERSA,E,F,2022
2022,2024-03-19T11:01:04,2024-03-19T11:01:04,24986558000156,1,559.0,CENTRO DE FORMACAO E APERFEICOAMENTO DE PRACAS DO ESTADO DO MARANHAO.,E,E,2022
2022,2023-11-03T19:48:10,2023-05-19T21:14:36,25648387000118,1881,284079965.86,UNIVERSIDADE FEDERAL DE UBERLANDIA,E,F,2022
2022,2023-05-20T05:06:40,2023-05-20T05:04:37,26474056000171,1639,533325733.62,INSTITUTO DO PATRIMONIO HISTORICO E ARTISTICO NACIONAL,E,F,2022
2022,2023-05-20T05:14:13,2023-05-20T05:13:55,26963660000161,600,32361506.78,FUNDACAO NACIONAL DE ARTES FUNARTE,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T04:24:03,26989350000116,2679,3827568856.29,FUNDACAO NACIONAL DE SAUDE,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:20:56,26994558000123,1020,422015740.71,ADVOCACIA GERAL DA UNIAO,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:18:43,32479123000143,2552,243327323.6199,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,E,F,2022
2022,2023-05-20T05:07:34,2023-05-20T05:07:20,32901688000177,442,29150598.28,FUNDACAO CULTURAL PALMARES,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:16:54,33004540000100,207,42886429.6952,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO,E,F,2022
2022,2023-11-10T15:09:03,2023-05-19T20:00:48,33663683000116,11626,823360607.0615,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T04:08:33,33781055000135,21942,3204458930.98,FUNDACAO OSWALDO CRUZ,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:31:44,33787094000140,5114,786359624.625,FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE,E,F,2022
2022,2023-05-19T19:31:38,2023-05-19T19:31:35,33892175000100,131,2044652.42,INSTITUTO DE PESQUISA ECONOMICA APLICADA,E,F,2022
2022,2023-05-20T06:21:57,2023-05-19T21:29:57,34792077000163,2000,56322651.66,UNIVERSIDADE FEDERAL DE RORAIMA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:31:19,34868257000181,65,35652766.8915,FUNDACAO UNIVERSIDADE FEDERAL DO AMAPA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:03:20,42441758000105,286,45014043.715,CENTRO FED DE ED TECNOLOGICA CELSO SUCKOW DA FONSECA RJ,E,F,2022
2022,2023-05-20T05:10:21,2023-05-20T05:10:14,37115342000167,214,403417270.65,MINISTERIO DA INFRAESTRUTURA,E,F,2022
2022,2023-05-20T05:22:45,2023-05-20T05:22:45,37115474000199,75,11078464.57,CONSELHO REGIONAL DE PSICOLOGIA QUARTA REGIAO,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:14:34,37753638000103,272,1071603209.42,MINISTERIO DAS COMUNICACOES,E,F,2022
2022,2023-05-20T05:07:55,2023-05-20T05:07:37,40176679000199,589,75840885.72,FUNDACAO BIBLIOTECA NACIONAL,E,F,2022
2022,2023-05-20T05:02:09,2023-05-20T05:01:53,62428073000136,317,3811716.42,"FUNDACAO JORGE DUPRAT FIGUEIREDO, DE SEGURANCA E MEDICINA DO TRABALHO",E,F,2022
2022,2023-05-20T05:09:51,2023-05-20T05:09:51,76471358000164,76,13218608.84,CONSELHO REGIONAL DE QUIMICA DA 9A REGIAO,E,F,2022
2022,2023-11-03T19:48:10,2023-07-04T20:20:47,83899526000182,2303,135714234.72,UNIVERSIDADE FEDERAL DE SANTA CATARINA,E,F,2022
2022,2023-05-19T21:09:34,2023-05-19T21:09:34,92967595000177,57,19806011.52,FUNDACAO UNIVERSIDADE FEDERAL DE CIENCIAS DA SAUDE DE PORTO ALEGRE,E,F,2022
2022,2023-05-20T06:10:36,2023-05-19T21:13:26,94877586000110,1187,111188867.02,UNIVERSIDADE FEDERAL DO RIO GRANDE - FURG,E,F,2022
2022,2023-05-19T20:48:54,2023-05-19T20:48:29,95591764000105,731,160057894.5,UNIVERSIDADE FEDERAL DE SANTA MARIA,E,F,2022
2022,2023-02-17T10:43:45,2023-02-17T10:43:45,12461679000103,27,719224.37,MUNICIPIO DE QUIXERE - CAMARA MUNICIPAL,L,M,2022
2022,2023-11-03T19:48:10,2023-05-20T05:20:48,13802028000194,125,17818199.9,SUPERINTENDENCIA DO DESENVOLVIMENTO DO CENTRO-OESTE,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:25:50,15461510000133,2000,39338108.11,FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:14:00,16888315000157,3000,61780099.81,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,E,F,2022
2022,2023-05-20T00:52:42,2023-05-20T00:52:42,18560547000107,38,1240973.52,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,E,F,2022
2022,2023-05-20T00:52:29,2023-05-20T00:51:58,18621825000199,976,45792675.96,UNIVERSIDADE FEDERAL DO CARIRI-UFCA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T00:49:37,18641263000145,1919,37474645.87,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:16:03,33519114000100,1469,28841321.0601,UNIVERSIDADE FEDERAL DO DELTA DO PARNAIBA - UFDPAR,E,F,2022
2022,2023-05-20T05:08:27,2023-05-20T05:08:27,33654831000136,94,76083438.05,CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:09:37,34023077000107,45,42037480.77,UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:25:19,34621748000123,265,266047190.78,UNIVERSIDADE FEDERAL DO PARA,E,F,2022
2022,2023-05-20T06:30:10,2023-05-19T22:15:09,35834377000120,1074,15407651.0,UNIVERSIDADE FEDERAL DE CATALAO,E,F,2022
2022,2023-09-05T18:20:43,2023-09-05T18:19:49,35840659000130,1473,94051955.15,UNIVERSIDADE FEDERAL DE JATAI,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T22:13:26,35854176000195,444,35393770.34,UNIVERSIDADE FEDERAL DE RONDONOPOLIS,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:16:09,37115375000107,289,67279254.14,MINISTERIO DO MEIO AMBIENTE,E,F,2022
2022,2023-05-20T05:16:40,2023-05-20T05:16:37,37115375000700,151,1244813.12,MINISTERIO DO MEIO AMBIENTE,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:02:27,37115383000153,254,46782530.44,MINISTERIO DE MINAS E ENERGIA,E,F,2022
2022,2023-05-20T03:22:22,2023-05-20T03:22:19,42354068000119,127,22982328.99,SUPERINTENDENCIA DE SEGUROS PRIVADOS,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:50:38,42414284000102,3297,95857728.22,COLEGIO PEDRO II,E,F,2022
2022,2023-05-20T05:06:46,2023-05-20T05:06:43,42519488000108,133,9661001.83,FUNDACAO CASA DE RUI BARBOSA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:07:40,21040001000130,1210,88097840.98,UNIVERSIDADE FEDERAL DE ITAJUBA,E,F,2022
2022,2023-05-19T21:29:42,2023-05-19T21:29:14,21186804000105,843,134898161.93,UNIVERSIDADE FEDERAL DE SAO JOAO DEL-REI,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:17:26,23070659000110,1352,64508036.08,UNIVERSIDADE FEDERAL DE OURO PRETO,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:13:42,23612685000122,159,17891406.4833,MINISTERIO DO TRABALHO,E,F,2022
2022,2024-07-22T12:35:04,2023-05-19T20:26:36,24098477000110,7598,184946663.0637,UNIVERSIDADE FEDERAL DA PARAIBA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:33:07,24134488000108,2000,297991384.2826,UNIVERSIDADE FEDERAL DE PERNAMBUCO,E,F,2022
2022,2023-05-19T20:35:15,2023-05-19T20:34:50,24365710000183,788,141533728.33,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T20:12:38,25437484000161,3000,1643711.84,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,E,F,2022
2022,2023-05-20T06:17:08,2023-05-19T21:23:11,25944455000196,2269,86497232.21,UNIVERSIDADE FEDERAL DE VICOSA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:08:32,26664015000148,160,100808927.74,CONTROLADORIA-GERAL DA UNIAO,E,F,2022
2022,2023-05-20T05:21:55,2023-05-20T05:21:48,27136980000100,271,331568619.58,"MINISTERIO DA MULHER, DA FAMILIA E DOS DIREITOS HUMANOS",E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T21:18:08,92242080000100,1578,115263499.62,UNIVERSIDADE FEDERAL DE PELOTAS,E,F,2022
2022,2023-05-20T05:58:25,2023-05-19T20:35:23,92969856000198,2000,26046620.27,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,E,F,2022
2022,2023-05-19T21:22:02,2023-05-19T21:21:37,13031547000104,731,178823236.52,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,E,F,2022
2022,2023-05-20T08:09:00,2023-05-19T20:16:18,15180714000104,3000,205384423.92,UNIVERSIDADE FEDERAL DA BAHIA,E,F,2022
2022,2023-11-03T19:48:10,2023-05-19T19:56:26,17217985000104,13743,338608678.19,UNIVERSIDADE FEDERAL DE MINAS GERAIS,E,F,2022
2022,2023-05-19T20:04:54,2023-05-19T20:04:36,17220203000196,546,126579453.15,CENTRO FEDERAL DE EDUCACAO TECNOLOGICA DE MINAS GERAIS,E,F,2022
2022,2023-11-06T20:54:57,2023-11-06T20:51:30,17879859000115,4272,142169993.0,UNIVERSIDADE FEDERAL DE ALFENAS - UNIFAL-MG,E,F,2022
2022,2023-05-20T07:03:27,2023-05-20T00:50:51,18657063000180,2000,157471548.89,UNIVERSIDADE FEDERAL DO SUL E SUDESTE DO PARA - UNIFESSPA,E,F,2022
2022,2023-05-20T05:33:51,2023-05-19T19:46:15,28523215000106,1483,70388254.98,UNIVERSIDADE FEDERAL FLUMINENSE,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:03:47,29406625000130,503,14644578.07,AGENCIA NACIONAL DE MINERACAO,E,F,2022
2022,2023-05-20T06:03:37,2023-05-19T20:49:30,29427465000105,2000,28744690.49,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,E,F,2022
2022,2023-05-20T05:20:11,2023-05-20T05:18:17,29979036000140,2609,3402543190.94,INSTITUTO NACIONAL DO SEGURO SOCIAL,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T03:23:47,42521088000137,90,32971940.31,INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,E,F,2022
2022,2023-05-19T22:09:58,2023-05-19T21:21:05,45358058000140,895,97029913.37,FUNDACAO UNIVERSIDADE FEDERAL DE SAO CARLOS,E,F,2022
2022,2023-05-20T08:15:46,2023-05-19T20:31:23,75095679000149,3000,155632112.62,UNIVERSIDADE FEDERAL DO PARANA,E,F,2022
2022,2023-05-20T06:22:35,2023-05-19T20:06:04,75101873000190,5849,167179812.57,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,E,F,2022
2022,2023-05-20T05:13:40,2023-05-20T05:13:40,15763423000130,25,10484767.54,EMPRESA DE PLANEJAMENTO E LOGÍSTICA S.A - EPL,E,F,2022
2022,2023-05-20T05:02:11,2023-05-20T05:02:11,42150664000187,57,144189280.11,"VALEC-ENGENHARIA, CONSTRUCOES E FERROVIAS S/A",E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:22:39,17312597000102,33,8700691.95,FUND.DE PREVID.COMPL.SERV.PUB.FED.PODER EXEC.,E,F,2022
2022,2023-11-03T19:48:10,2023-05-20T05:01:25,46379400000150,659,27200421.48,ESTADO DE SAO PAULO,E,E,2022
